Gene,NAIP2C1,NAIP2,NEUROG2,NA,CTL,PSC
FSTL1,14000.60801,93220.90035,22983.09576,8686.640483,126727.0264,20258.74974
GPC2,13943.26654,3550.45857,14584.67489,16579.96378,3303.692376,808.1407625
RUNDC3A,13909.05266,1946.831979,9020.94109,12437.77909,34.59026433,108.2837475
ARMCX3,13898.27057,5128.481795,10577.7721,14083.72309,3990.072158,1387.228667
ATP8A1,13879.80861,1667.843343,10212.47817,13197.0052,197.3193091,1427.199689
NAV1,13857.13981,9558.744117,13022.96906,17149.6817,9281.980404,5215.508224
ATF7IP,13852.94058,7325.19172,13589.22084,13982.57486,10130.56642,13504.52008
ADD1,13850.25998,12219.74565,11671.22458,12895.80469,10035.40105,6772.462596
DCLK1,13843.52918,2218.870906,10656.61145,16198.00279,1762.462698,3751.663222
ST13,13834.16111,16825.72096,12360.65235,11342.2592,17603.29499,14526.46814
DLG4,13810.10023,4079.165745,12442.71345,19279.1265,4259.677717,958.3728411
GNG3,13805.46603,1610.885914,8518.842845,10985.69209,70.1168777,148.5062542
RPS24,13786.80182,29281.40181,18144.02545,9666.301076,30426.69487,24682.74317
SYP,13773.337,2053.984972,13258.77826,27445.92522,39.42749969,244.7460848
GANAB,13767.77901,23619.88425,13121.46066,12512.45494,24882.90087,16415.12412
CTNNA2,13743.54425,3413.384635,8545.635911,12169.24598,1658.301697,441.8751692
APBB1,13728.17189,5525.100697,9585.760598,12121.51181,4008.376259,1270.514782
OS9,13702.13547,5961.506894,11537.90969,12812.87393,4362.126038,3416.007032
LDHB,13684.35462,36180.45319,15420.47644,13074.16381,34874.01423,55176.29412
KDM5C,13679.93476,11600.70105,13074.13417,14687.56627,14140.91685,5069.91605
GNAI2,13679.80582,15545.46544,13702.05303,10828.34363,13476.98519,11254.14963
RAB7A,13652.53402,9992.805015,11216.91506,13134.70884,8823.97837,6710.78725
RPS19,13645.35084,30157.57639,18148.36289,9940.546699,31935.28675,22083.09103
MYCBP2,13639.28806,3735.96462,11713.02909,17377.56451,2188.039217,4645.59796
TOMM20,13630.26932,11815.39797,11970.27099,13050.27853,11667.67833,16229.54568
RPS6,13602.95676,42402.70935,22393.7654,8468.144518,45818.35859,57155.71703
ADAR,13584.87097,8363.271853,9127.937733,11350.67216,8345.248388,11500.63004
SRP14,13549.92957,10326.49915,12113.53566,13084.16441,8387.002661,8204.587845
PBRM1,13523.93415,7175.535654,11535.90669,13118.91402,5716.726609,7957.034131
