"","Gene","logFC","FDR","fdr","logfc","labels","sig"
"15319","LOC105373745",-2.994464154,0.068085438,0.068085438,-2.994464154,"LOC105373745","Not Sig"
"15320","ZFP92",-1.454908182,0.068088675,0.068088675,-1.454908182,"ZFP92","Not Sig"
"15321","TRPV6",-1.716769944,0.068140094,0.068140094,-1.716769944,"TRPV6","Not Sig"
"15322","MARK2",0.26726101,0.068260388,0.068260388,0.26726101,"MARK2","Not Sig"
"15323","STPG3",-2.502060658,0.068340341,0.068340341,-2.502060658,"STPG3","Not Sig"
"15324","TNRC6A_1",-2.12301314,0.068366475,0.068366475,-2.12301314,"TNRC6A_1","Not Sig"
"15325","CCDC78",0.730275348,0.068372117,0.068372117,0.730275348,"CCDC78","Not Sig"
"15326","CHERP",-0.480573874,0.068469296,0.068469296,-0.480573874,"CHERP","Not Sig"
"15327","DPH1",0.414902104,0.068485587,0.068485587,0.414902104,"DPH1","Not Sig"
"15328","MPP4",1.963801858,0.06867041,0.06867041,1.963801858,"MPP4","Not Sig"
"15329","MRTFA-AS1",-3.013630447,0.068717493,0.068717493,-3.013630447,"MRTFA-AS1","Not Sig"
"15330","SNORD116-2",-2.010743732,0.068823228,0.068823228,-2.010743732,"SNORD116-2","Not Sig"
"15331","ADAMTSL5",1.438199121,0.068863418,0.068863418,1.438199121,"ADAMTSL5","Not Sig"
"15332","CDCP2",-1.893191298,0.068903561,0.068903561,-1.893191298,"CDCP2","Not Sig"
"15333","LINC01535",-1.46915338,0.069017448,0.069017448,-1.46915338,"LINC01535","Not Sig"
"15334","ST6GALNAC6",-0.330354541,0.06902949,0.06902949,-0.330354541,"ST6GALNAC6","Not Sig"
"15335","SEPTIN7P2",0.408757469,0.069171195,0.069171195,0.408757469,"SEPTIN7P2","Not Sig"
"15336","SLC22A5",0.495279914,0.069195753,0.069195753,0.495279914,"SLC22A5","Not Sig"
"15337","LOC105371912",-3.052838282,0.069258878,0.069258878,-3.052838282,"LOC105371912","Not Sig"
"15338","MSTN",2.112532973,0.069295669,0.069295669,2.112532973,"MSTN","Not Sig"
"15339","NUDT15",-0.461486937,0.069303151,0.069303151,-0.461486937,"NUDT15","Not Sig"
"15340","CFAP61",0.891313407,0.069339523,0.069339523,0.891313407,"CFAP61","Not Sig"
"15341","EIF3CL",-1.3124192,0.069383307,0.069383307,-1.3124192,"EIF3CL","Not Sig"
"15342","NEUROD2",-2.827588757,0.069423306,0.069423306,-2.827588757,"NEUROD2","Not Sig"
"15343","LOC107984249",2.589246481,0.069557393,0.069557393,2.589246481,"LOC107984249","Not Sig"
"15344","H2AC11",-1.058726398,0.069636482,0.069636482,-1.058726398,"H2AC11","Not Sig"
"15345","LOC107984655",1.660214909,0.069636482,0.069636482,1.660214909,"LOC107984655","Not Sig"
"15346","TMPPE",1.059890875,0.069657056,0.069657056,1.059890875,"TMPPE","Not Sig"
"15347","GLG1",-0.446816911,0.069698648,0.069698648,-0.446816911,"GLG1","Not Sig"
"15348","LOC105371060",2.176806172,0.069698648,0.069698648,2.176806172,"LOC105371060","Not Sig"
"15349","MVD",0.427468236,0.069783893,0.069783893,0.427468236,"MVD","Not Sig"
"15350","C19orf53",-0.552887047,0.069831874,0.069831874,-0.552887047,"C19orf53","Not Sig"
"15351","NOC2L",-0.458988446,0.069831874,0.069831874,-0.458988446,"NOC2L","Not Sig"
"15352","RALGAPA2",0.533457462,0.069842636,0.069842636,0.533457462,"RALGAPA2","Not Sig"
"15353","HAO2",-2.19318601,0.069868239,0.069868239,-2.19318601,"HAO2","Not Sig"
"15354","SPDYE18",-1.169785548,0.069889256,0.069889256,-1.169785548,"SPDYE18","Not Sig"
"15355","LOC112268130",-1.562152209,0.069984534,0.069984534,-1.562152209,"LOC112268130","Not Sig"
"15356","MARCHF3",-0.48273411,0.069984534,0.069984534,-0.48273411,"MARCHF3","Not Sig"
"15357","WNT3",2.445832866,0.069987445,0.069987445,2.445832866,"WNT3","Not Sig"
"15358","HLA-B_1",0.86400072,0.0700289,0.0700289,0.86400072,"HLA-B_1","Not Sig"
"15359","LCN12",1.037687182,0.070135155,0.070135155,1.037687182,"LCN12","Not Sig"
"15360","DSCAS",2.243716752,0.070292002,0.070292002,2.243716752,"DSCAS","Not Sig"
"15361","CHKB-CPT1B",1.999245819,0.0703238,0.0703238,1.999245819,"CHKB-CPT1B","Not Sig"
"15362","TFAP2E-AS1",1.458711629,0.070347586,0.070347586,1.458711629,"TFAP2E-AS1","Not Sig"
"15363","LOC112267855",-3.029317623,0.070459995,0.070459995,-3.029317623,"LOC112267855","Not Sig"
"15364","SNORD133",-2.143883988,0.070489919,0.070489919,-2.143883988,"SNORD133","Not Sig"
"15365","SDR42E1",-2.815097601,0.070515511,0.070515511,-2.815097601,"SDR42E1","Not Sig"
"15366","STK11",-0.507653819,0.070566057,0.070566057,-0.507653819,"STK11","Not Sig"
"15367","ZNF157",0.680816282,0.070763121,0.070763121,0.680816282,"ZNF157","Not Sig"
"15368","TRIP12",-0.354344563,0.070765673,0.070765673,-0.354344563,"TRIP12","Not Sig"
"15369","CBX5",-0.560958938,0.070778883,0.070778883,-0.560958938,"CBX5","Not Sig"
"15370","MED22",2.157947954,0.070861634,0.070861634,2.157947954,"MED22","Not Sig"
"15371","LZTFL1",-0.253944912,0.070968272,0.070968272,-0.253944912,"LZTFL1","Not Sig"
"15372","TRAPPC13",-0.277965293,0.071000712,0.071000712,-0.277965293,"TRAPPC13","Not Sig"
"15373","CDK2AP2",-0.454143332,0.071023666,0.071023666,-0.454143332,"CDK2AP2","Not Sig"
"15374","SAMD3",0.499086351,0.071058152,0.071058152,0.499086351,"SAMD3","Not Sig"
"15375","ARHGDIB",-1.903646475,0.071144513,0.071144513,-1.903646475,"ARHGDIB","Not Sig"
"15376","PARAL1",2.327147203,0.071148231,0.071148231,2.327147203,"PARAL1","Not Sig"
"15377","ZNF345",-0.402537454,0.071223487,0.071223487,-0.402537454,"ZNF345","Not Sig"
"15378","LOC105373264",-2.233531033,0.071232002,0.071232002,-2.233531033,"LOC105373264","Not Sig"
"15379","LOC107984965",-2.95688127,0.071315663,0.071315663,-2.95688127,"LOC107984965","Not Sig"
"15380","FLJ40194",-2.95688127,0.071315663,0.071315663,-2.95688127,"FLJ40194","Not Sig"
"15381","EVI2B",-2.853760704,0.071315663,0.071315663,-2.853760704,"EVI2B","Not Sig"
"15382","LOC105371856",2.411911913,0.071436464,0.071436464,2.411911913,"LOC105371856","Not Sig"
"15383","LOC105372758",-3.031003774,0.071545902,0.071545902,-3.031003774,"LOC105372758","Not Sig"
"15384","PINCR",-3.016686859,0.071573511,0.071573511,-3.016686859,"PINCR","Not Sig"
"15385","GCKR",1.669727771,0.071584106,0.071584106,1.669727771,"GCKR","Not Sig"
"15386","LOC101927010",-2.816527326,0.071604264,0.071604264,-2.816527326,"LOC101927010","Not Sig"
"15387","LINC00538",2.225996441,0.071617293,0.071617293,2.225996441,"LINC00538","Not Sig"
"15388","LINC02570_4",-2.812745761,0.071659188,0.071659188,-2.812745761,"LINC02570_4","Not Sig"
"15389","MRPL43",-0.349759609,0.071810105,0.071810105,-0.349759609,"MRPL43","Not Sig"
"15390","FAM151A",-2.813712596,0.071918414,0.071918414,-2.813712596,"FAM151A","Not Sig"
"15391","SRSF9",-0.556302579,0.071918414,0.071918414,-0.556302579,"SRSF9","Not Sig"
"15392","ACYP1",0.590436355,0.071987462,0.071987462,0.590436355,"ACYP1","Not Sig"
"15393","IFFO1",0.646060064,0.071989499,0.071989499,0.646060064,"IFFO1","Not Sig"
"15394","ZNF534",2.010120863,0.072004776,0.072004776,2.010120863,"ZNF534","Not Sig"
"15395","PRRT1B",-1.374868306,0.07201237,0.07201237,-1.374868306,"PRRT1B","Not Sig"
"15396","LOC105370491",-3.019121663,0.072021207,0.072021207,-3.019121663,"LOC105370491","Not Sig"
"15397","PLA2R1",-0.971913876,0.072213141,0.072213141,-0.971913876,"PLA2R1","Not Sig"
"15398","LOC105372919",-1.963897205,0.072213451,0.072213451,-1.963897205,"LOC105372919","Not Sig"
"15399","HBEGF",0.82174786,0.072224326,0.072224326,0.82174786,"HBEGF","Not Sig"
"15400","LOC107987366",2.372908759,0.07223039,0.07223039,2.372908759,"LOC107987366","Not Sig"
"15401","LOC107987266",0.969490087,0.072263513,0.072263513,0.969490087,"LOC107987266","Not Sig"
"15402","VARS1_2",2.665820505,0.072263513,0.072263513,2.665820505,"VARS1_2","Not Sig"
"15403","LOC105376433",-2.890843209,0.072288624,0.072288624,-2.890843209,"LOC105376433","Not Sig"
"15404","LARGE1-AS1",-1.582090419,0.072419981,0.072419981,-1.582090419,"LARGE1-AS1","Not Sig"
"15405","LOC100506851",-2.104222452,0.072432778,0.072432778,-2.104222452,"LOC100506851","Not Sig"
"15406","LOC100130283",0.644667645,0.072507996,0.072507996,0.644667645,"LOC100130283","Not Sig"
"15407","EIF4E1B",-1.972575196,0.072602413,0.072602413,-1.972575196,"EIF4E1B","Not Sig"
"15408","PSMG4",-0.275198566,0.072602413,0.072602413,-0.275198566,"PSMG4","Not Sig"
"15409","PKD1P1_1",1.014027074,0.072667645,0.072667645,1.014027074,"PKD1P1_1","Not Sig"
"15410","LOC105374889",1.574874791,0.072667645,0.072667645,1.574874791,"LOC105374889","Not Sig"
"15411","CKAP4",0.189807243,0.072776493,0.072776493,0.189807243,"CKAP4","Not Sig"
"15412","ZNF100",-2.181763186,0.072935361,0.072935361,-2.181763186,"ZNF100","Not Sig"
"15413","TPSD1",-2.944823202,0.072939593,0.072939593,-2.944823202,"TPSD1","Not Sig"
"15414","PLG",2.269245009,0.072959242,0.072959242,2.269245009,"PLG","Not Sig"
"15415","CORO1B",-0.473941806,0.072985951,0.072985951,-0.473941806,"CORO1B","Not Sig"
"15416","RIC1",-0.399603634,0.073016238,0.073016238,-0.399603634,"RIC1","Not Sig"
"15417","RNASEH1-AS1",-0.411560294,0.073034897,0.073034897,-0.411560294,"RNASEH1-AS1","Not Sig"
"15418","PBOV1",-2.869558217,0.073036392,0.073036392,-2.869558217,"PBOV1","Not Sig"
"15419","CXCL17",-2.936506226,0.073106817,0.073106817,-2.936506226,"CXCL17","Not Sig"
"15420","CRYGB",-2.799366421,0.073126695,0.073126695,-2.799366421,"CRYGB","Not Sig"
"15421","LOC102723324",-2.998187181,0.073247192,0.073247192,-2.998187181,"LOC102723324","Not Sig"
"15422","MYO1H",-1.098855238,0.073277426,0.073277426,-1.098855238,"MYO1H","Not Sig"
"15423","UVRAG",0.43377884,0.073498697,0.073498697,0.43377884,"UVRAG","Not Sig"
"15424","LERFS",1.723742329,0.073568809,0.073568809,1.723742329,"LERFS","Not Sig"
"15425","BCAS3",0.329468889,0.073656589,0.073656589,0.329468889,"BCAS3","Not Sig"
"15426","SLC30A7",-0.546410476,0.073684129,0.073684129,-0.546410476,"SLC30A7","Not Sig"
"15427","LOC101929289",-0.969276473,0.073690473,0.073690473,-0.969276473,"LOC101929289","Not Sig"
"15428","DKFZp451B082",1.892343673,0.073690473,0.073690473,1.892343673,"DKFZp451B082","Not Sig"
"15429","ZFAND1",-0.298404222,0.073708473,0.073708473,-0.298404222,"ZFAND1","Not Sig"
"15430","ADCY3",0.306724355,0.073731549,0.073731549,0.306724355,"ADCY3","Not Sig"
"15431","LOC101928230",2.0915831,0.073752453,0.073752453,2.0915831,"LOC101928230","Not Sig"
"15432","PTPN11",-0.251337495,0.073790175,0.073790175,-0.251337495,"PTPN11","Not Sig"
"15433","ITFG2",-0.205762302,0.073792456,0.073792456,-0.205762302,"ITFG2","Not Sig"
"15434","SNORD14C",-1.501218115,0.073827619,0.073827619,-1.501218115,"SNORD14C","Not Sig"
"15435","LOC105374936",-2.906721832,0.073867294,0.073867294,-2.906721832,"LOC105374936","Not Sig"
"15436","POTEJ",-2.198681294,0.073878755,0.073878755,-2.198681294,"POTEJ","Not Sig"
"15437","LOC100507053",-0.869041506,0.073883922,0.073883922,-0.869041506,"LOC100507053","Not Sig"
"15438","ACSL6-AS1",1.590262816,0.073924035,0.073924035,1.590262816,"ACSL6-AS1","Not Sig"
"15439","SPANXA2-OT1",2.194265693,0.073946377,0.073946377,2.194265693,"SPANXA2-OT1","Not Sig"
"15440","B3GNT8",-1.417736838,0.074115479,0.074115479,-1.417736838,"B3GNT8","Not Sig"
"15441","RAG1",-0.735849972,0.074226046,0.074226046,-0.735849972,"RAG1","Not Sig"
"15442","ALPP",-2.986099339,0.074235004,0.074235004,-2.986099339,"ALPP","Not Sig"
"15443","LOC107987282",-2.901734174,0.074261367,0.074261367,-2.901734174,"LOC107987282","Not Sig"
"15444","HAAO",-0.658882855,0.074336892,0.074336892,-0.658882855,"HAAO","Not Sig"
"15445","EXD2",0.401225907,0.074336892,0.074336892,0.401225907,"EXD2","Not Sig"
"15446","CD83",0.344793927,0.0743591,0.0743591,0.344793927,"CD83","Not Sig"
"15447","SAMD4B",-0.530072877,0.074457529,0.074457529,-0.530072877,"SAMD4B","Not Sig"
"15448","KRT10-AS1",-0.411551514,0.074605468,0.074605468,-0.411551514,"KRT10-AS1","Not Sig"
"15449","ATP5MJ",0.540269206,0.07462741,0.07462741,0.540269206,"ATP5MJ","Not Sig"
"15450","BICC1",0.732784063,0.074866652,0.074866652,0.732784063,"BICC1","Not Sig"
"15451","LOC105371159",-2.202633543,0.074893992,0.074893992,-2.202633543,"LOC105371159","Not Sig"
"15452","KDM2B-DT",-2.217994024,0.074958257,0.074958257,-2.217994024,"KDM2B-DT","Not Sig"
"15453","LINC02352",1.933979438,0.07499237,0.07499237,1.933979438,"LINC02352","Not Sig"
"15454","LOC102723716",1.652786601,0.075078701,0.075078701,1.652786601,"LOC102723716","Not Sig"
"15455","LOC107985492",-2.972480873,0.075080185,0.075080185,-2.972480873,"LOC107985492","Not Sig"
"15456","UPF3A",-0.258084901,0.075139025,0.075139025,-0.258084901,"UPF3A","Not Sig"
"15457","LOC107986222",-1.445406713,0.07514512,0.07514512,-1.445406713,"LOC107986222","Not Sig"
"15458","SLC5A1",2.232197985,0.07514512,0.07514512,2.232197985,"SLC5A1","Not Sig"
"15459","RHAG",-2.985152989,0.075193054,0.075193054,-2.985152989,"RHAG","Not Sig"
"15460","CCDC51",-0.383038713,0.075195558,0.075195558,-0.383038713,"CCDC51","Not Sig"
"15461","TBX6",-0.80277145,0.075321799,0.075321799,-0.80277145,"TBX6","Not Sig"
"15462","LOC105373923",-2.982841198,0.075348202,0.075348202,-2.982841198,"LOC105373923","Not Sig"
"15463","ZNF221",0.959867146,0.075353116,0.075353116,0.959867146,"ZNF221","Not Sig"
"15464","RBCK1",0.48425284,0.075391814,0.075391814,0.48425284,"RBCK1","Not Sig"
"15465","CSE1L-AS1",-2.87156446,0.075416713,0.075416713,-2.87156446,"CSE1L-AS1","Not Sig"
"15466","OAS1",-2.526326218,0.075527341,0.075527341,-2.526326218,"OAS1","Not Sig"
"15467","LOC107986187",-2.080141978,0.075532289,0.075532289,-2.080141978,"LOC107986187","Not Sig"
"15468","SPRNP1",2.141130703,0.075532289,0.075532289,2.141130703,"SPRNP1","Not Sig"
"15469","ZNF414",0.436498285,0.075557151,0.075557151,0.436498285,"ZNF414","Not Sig"
"15470","ZC3H11B",0.397518279,0.075591463,0.075591463,0.397518279,"ZC3H11B","Not Sig"
"15471","PTRHD1",-0.731094976,0.075596319,0.075596319,-0.731094976,"PTRHD1","Not Sig"
"15472","MIR4258",-2.788653119,0.075645751,0.075645751,-2.788653119,"MIR4258","Not Sig"
"15473","LOC107986024",-2.980204622,0.075665118,0.075665118,-2.980204622,"LOC107986024","Not Sig"
"15474","CEP250-AS1",-2.683171351,0.075665118,0.075665118,-2.683171351,"CEP250-AS1","Not Sig"
"15475","MIR637",1.16353995,0.075712017,0.075712017,1.16353995,"MIR637","Not Sig"
"15476","LINC02882",-2.42639589,0.075781785,0.075781785,-2.42639589,"LINC02882","Not Sig"
"15477","KLK3",-2.946771467,0.075826948,0.075826948,-2.946771467,"KLK3","Not Sig"
"15478","LOC112268101",1.317247281,0.075961108,0.075961108,1.317247281,"LOC112268101","Not Sig"
"15479","TADA1",0.241056428,0.07596423,0.07596423,0.241056428,"TADA1","Not Sig"
"15480","BICRAL",0.419090433,0.075966183,0.075966183,0.419090433,"BICRAL","Not Sig"
"15481","TSPAN1",1.956444926,0.075983879,0.075983879,1.956444926,"TSPAN1","Not Sig"
"15482","MIR25",-1.163293615,0.075991053,0.075991053,-1.163293615,"MIR25","Not Sig"
"15483","RACGAP1",-0.576023327,0.076000142,0.076000142,-0.576023327,"RACGAP1","Not Sig"
"15484","SMG1P5",0.817255343,0.076008089,0.076008089,0.817255343,"SMG1P5","Not Sig"
"15485","CLASP1-AS1",0.689756968,0.076027748,0.076027748,0.689756968,"CLASP1-AS1","Not Sig"
"15486","IDI2-AS1",-1.15222859,0.076053397,0.076053397,-1.15222859,"IDI2-AS1","Not Sig"
"15487","C1orf43",0.254943845,0.076077199,0.076077199,0.254943845,"C1orf43","Not Sig"
"15488","INHBB",2.359322336,0.076144397,0.076144397,2.359322336,"INHBB","Not Sig"
"15489","CCNQ",0.442842975,0.076193892,0.076193892,0.442842975,"CCNQ","Not Sig"
"15490","HSPA1B_2",1.064996121,0.076193892,0.076193892,1.064996121,"HSPA1B_2","Not Sig"
"15491","SNORD58C",-1.250604227,0.076274916,0.076274916,-1.250604227,"SNORD58C","Not Sig"
"15492","SHISA5",0.254021876,0.076274916,0.076274916,0.254021876,"SHISA5","Not Sig"
"15493","RNU7-1",1.28449658,0.076348166,0.076348166,1.28449658,"RNU7-1","Not Sig"
"15494","LOC107986080",-2.981140147,0.076364818,0.076364818,-2.981140147,"LOC107986080","Not Sig"
"15495","CD151",0.574911055,0.076563923,0.076563923,0.574911055,"CD151","Not Sig"
"15496","H2AC19",2.090677625,0.076669398,0.076669398,2.090677625,"H2AC19","Not Sig"
"15497","SLFN12L",-2.980311227,0.076870401,0.076870401,-2.980311227,"SLFN12L","Not Sig"
"15498","TMX2-CTNND1",-2.683574811,0.076870401,0.076870401,-2.683574811,"TMX2-CTNND1","Not Sig"
"15499","DHX40",0.134884361,0.076964115,0.076964115,0.134884361,"DHX40","Not Sig"
"15500","C11orf96",-0.776346364,0.077025134,0.077025134,-0.776346364,"C11orf96","Not Sig"
"15501","KRTAP13-4",-2.880516295,0.077135178,0.077135178,-2.880516295,"KRTAP13-4","Not Sig"
"15502","DCLRE1B",0.414570797,0.077168687,0.077168687,0.414570797,"DCLRE1B","Not Sig"
"15503","MSX1",1.199654873,0.077188616,0.077188616,1.199654873,"MSX1","Not Sig"
"15504","RHBDL1",0.72331766,0.077208527,0.077208527,0.72331766,"RHBDL1","Not Sig"
"15505","LOC107986298",1.324888644,0.077208527,0.077208527,1.324888644,"LOC107986298","Not Sig"
"15506","LOC105376972_1",1.825638344,0.077396238,0.077396238,1.825638344,"LOC105376972_1","Not Sig"
"15507","LOC105370787",2.311426191,0.077468302,0.077468302,2.311426191,"LOC105370787","Not Sig"
"15508","ZAR1",-0.949716293,0.07759988,0.07759988,-0.949716293,"ZAR1","Not Sig"
"15509","USP31",-0.450172719,0.07759988,0.07759988,-0.450172719,"USP31","Not Sig"
"15510","SNORD63B",-1.482264515,0.077611739,0.077611739,-1.482264515,"SNORD63B","Not Sig"
"15511","DLGAP2_4",2.26331477,0.077630203,0.077630203,2.26331477,"DLGAP2_4","Not Sig"
"15512","GHRL",-2.796705674,0.077697138,0.077697138,-2.796705674,"GHRL","Not Sig"
"15513","ZNF839",0.36338867,0.077716619,0.077716619,0.36338867,"ZNF839","Not Sig"
"15514","PIGU",-0.296453737,0.077755372,0.077755372,-0.296453737,"PIGU","Not Sig"
"15515","CYB5R3",0.368994129,0.077755372,0.077755372,0.368994129,"CYB5R3","Not Sig"
"15516","KDM4C",-0.449911268,0.077786943,0.077786943,-0.449911268,"KDM4C","Not Sig"
"15517","COLEC10",1.370493434,0.077786943,0.077786943,1.370493434,"COLEC10","Not Sig"
"15518","ANK3-DT",-2.758226115,0.077794691,0.077794691,-2.758226115,"ANK3-DT","Not Sig"
"15519","LOC105377328",-2.499890166,0.077798353,0.077798353,-2.499890166,"LOC105377328","Not Sig"
"15520","KAZALD1",0.65187771,0.077798353,0.077798353,0.65187771,"KAZALD1","Not Sig"
"15521","MFSD12",0.389325258,0.077811882,0.077811882,0.389325258,"MFSD12","Not Sig"
"15522","LOC107985224",1.667969811,0.077898382,0.077898382,1.667969811,"LOC107985224","Not Sig"
"15523","MOSPD1",-0.243918466,0.07791339,0.07791339,-0.243918466,"MOSPD1","Not Sig"
"15524","MIEF2",1.963345777,0.07793184,0.07793184,1.963345777,"MIEF2","Not Sig"
"15525","ACAN",-0.834117857,0.07825424,0.07825424,-0.834117857,"ACAN","Not Sig"
"15526","FAT2",0.82878897,0.078339857,0.078339857,0.82878897,"FAT2","Not Sig"
"15527","LINC02365",-2.655858449,0.078352141,0.078352141,-2.655858449,"LINC02365","Not Sig"
"15528","CASC23",-2.966154669,0.07840385,0.07840385,-2.966154669,"CASC23","Not Sig"
"15529","CPQ",0.777061925,0.078440501,0.078440501,0.777061925,"CPQ","Not Sig"
"15530","LOC101929142",2.231732156,0.078528654,0.078528654,2.231732156,"LOC101929142","Not Sig"
"15531","LOC105374764",-2.542245104,0.078635294,0.078635294,-2.542245104,"LOC105374764","Not Sig"
"15532","IFNGR2",0.978342514,0.078702723,0.078702723,0.978342514,"IFNGR2","Not Sig"
"15533","SMC5-DT",1.354962344,0.078862714,0.078862714,1.354962344,"SMC5-DT","Not Sig"
"15534","SNORD175",1.959768164,0.078862714,0.078862714,1.959768164,"SNORD175","Not Sig"
"15535","LOC105375167",2.106456142,0.078874751,0.078874751,2.106456142,"LOC105375167","Not Sig"
"15536","TMCC1-DT",0.786598983,0.079000206,0.079000206,0.786598983,"TMCC1-DT","Not Sig"
"15537","BTG1-DT",-1.477644971,0.079059294,0.079059294,-1.477644971,"BTG1-DT","Not Sig"
"15538","PDHX",0.24460855,0.079075933,0.079075933,0.24460855,"PDHX","Not Sig"
"15539","SLC12A1",-1.029227758,0.079148273,0.079148273,-1.029227758,"SLC12A1","Not Sig"
"15540","GPRC5D-AS1",-1.784256754,0.079180201,0.079180201,-1.784256754,"GPRC5D-AS1","Not Sig"
"15541","LOC112268383",-2.865290012,0.079240034,0.079240034,-2.865290012,"LOC112268383","Not Sig"
"15542","TPI1P2",-1.081597421,0.079278295,0.079278295,-1.081597421,"TPI1P2","Not Sig"
"15543","LOC107986571",-1.960525032,0.079412308,0.079412308,-1.960525032,"LOC107986571","Not Sig"
"15544","PQBP1",0.475718164,0.079485117,0.079485117,0.475718164,"PQBP1","Not Sig"
"15545","GOLGB1",-0.623860568,0.079508819,0.079508819,-0.623860568,"GOLGB1","Not Sig"
"15546","RTP5",2.24702637,0.079542928,0.079542928,2.24702637,"RTP5","Not Sig"
"15547","MRPL47",-0.518129383,0.079565006,0.079565006,-0.518129383,"MRPL47","Not Sig"
"15548","PCDHGA3",-1.92664497,0.07957605,0.07957605,-1.92664497,"PCDHGA3","Not Sig"
"15549","TMC3-AS1",-1.131732298,0.079599453,0.079599453,-1.131732298,"TMC3-AS1","Not Sig"
"15550","CRYZL1",0.402886708,0.079625536,0.079625536,0.402886708,"CRYZL1","Not Sig"
"15551","BRWD1",-0.609314284,0.079740407,0.079740407,-0.609314284,"BRWD1","Not Sig"
"15552","DGUOK",0.396028883,0.079786537,0.079786537,0.396028883,"DGUOK","Not Sig"
"15553","LOC105372749",-2.891597656,0.079939528,0.079939528,-2.891597656,"LOC105372749","Not Sig"
"15554","LOC107987003",1.759854184,0.080018509,0.080018509,1.759854184,"LOC107987003","Not Sig"
"15555","TAS2R5",-1.207879834,0.080059101,0.080059101,-1.207879834,"TAS2R5","Not Sig"
"15556","LINC01587",-2.930828921,0.0800727,0.0800727,-2.930828921,"LINC01587","Not Sig"
"15557","MORF4L2-AS1",-0.747587255,0.080083421,0.080083421,-0.747587255,"MORF4L2-AS1","Not Sig"
"15558","LOC105370459",2.160993875,0.080090919,0.080090919,2.160993875,"LOC105370459","Not Sig"
"15559","MRPL28",-0.412982775,0.080095649,0.080095649,-0.412982775,"MRPL28","Not Sig"
"15560","ZNF706",0.251677654,0.080117822,0.080117822,0.251677654,"ZNF706","Not Sig"
"15561","LOC107985787",-2.834473783,0.080159493,0.080159493,-2.834473783,"LOC107985787","Not Sig"
"15562","SLC38A9",-0.422116958,0.080183467,0.080183467,-0.422116958,"SLC38A9","Not Sig"
"15563","LOC105377112",-2.873179287,0.080215288,0.080215288,-2.873179287,"LOC105377112","Not Sig"
"15564","LOC105374535",-1.584525074,0.080217053,0.080217053,-1.584525074,"LOC105374535","Not Sig"
"15565","SNORD13F",-2.946165417,0.080439479,0.080439479,-2.946165417,"SNORD13F","Not Sig"
"15566","LINC01703",-1.86780027,0.080470723,0.080470723,-1.86780027,"LINC01703","Not Sig"
"15567","SLC35B1",0.372075385,0.080470723,0.080470723,0.372075385,"SLC35B1","Not Sig"
"15568","MYOM2",1.957230805,0.080470723,0.080470723,1.957230805,"MYOM2","Not Sig"
"15569","AKAP5",-0.528147376,0.080509327,0.080509327,-0.528147376,"AKAP5","Not Sig"
"15570","LOC105374966",-2.935483563,0.080546094,0.080546094,-2.935483563,"LOC105374966","Not Sig"
"15571","OGFR-AS1",1.752837258,0.080612576,0.080612576,1.752837258,"OGFR-AS1","Not Sig"
"15572","LOC105369329",1.642898035,0.080644278,0.080644278,1.642898035,"LOC105369329","Not Sig"
"15573","GABBR1_6",2.303242772,0.080646008,0.080646008,2.303242772,"GABBR1_6","Not Sig"
"15574","YJU2",-0.529028151,0.080763336,0.080763336,-0.529028151,"YJU2","Not Sig"
"15575","PIK3R2",0.450434843,0.080789921,0.080789921,0.450434843,"PIK3R2","Not Sig"
"15576","SPATA24",-0.507213607,0.080808678,0.080808678,-0.507213607,"SPATA24","Not Sig"
"15577","LOC107984702",-2.767658173,0.080812012,0.080812012,-2.767658173,"LOC107984702","Not Sig"
"15578","RPL22",-0.404854405,0.080818852,0.080818852,-0.404854405,"RPL22","Not Sig"
"15579","PDXDC1_1",1.521490434,0.08082652,0.08082652,1.521490434,"PDXDC1_1","Not Sig"
"15580","LOC408186",-0.853082556,0.08109721,0.08109721,-0.853082556,"LOC408186","Not Sig"
"15581","ZNF200",-0.171721348,0.081151881,0.081151881,-0.171721348,"ZNF200","Not Sig"
"15582","LOC105379042",2.262855026,0.081151881,0.081151881,2.262855026,"LOC105379042","Not Sig"
"15583","LOC105375914",2.539297259,0.081207953,0.081207953,2.539297259,"LOC105375914","Not Sig"
"15584","EFHB",-1.274110533,0.08124688,0.08124688,-1.274110533,"EFHB","Not Sig"
"15585","INTS4P2",1.17905796,0.081274893,0.081274893,1.17905796,"INTS4P2","Not Sig"
"15586","PIP4K2C",-0.328782621,0.081328825,0.081328825,-0.328782621,"PIP4K2C","Not Sig"
"15587","HECW1-IT1",-2.626661262,0.081435182,0.081435182,-2.626661262,"HECW1-IT1","Not Sig"
"15588","RGPD2",1.758571655,0.081532241,0.081532241,1.758571655,"RGPD2","Not Sig"
"15589","CD27",1.891644778,0.08155381,0.08155381,1.891644778,"CD27","Not Sig"
"15590","HCG18_4",0.386864032,0.081577067,0.081577067,0.386864032,"HCG18_4","Not Sig"
"15591","ETV3",0.446283478,0.081577067,0.081577067,0.446283478,"ETV3","Not Sig"
"15592","HLA-DPB1_4",1.343230896,0.081626495,0.081626495,1.343230896,"HLA-DPB1_4","Not Sig"
"15593","CLIP1",0.445370012,0.081630761,0.081630761,0.445370012,"CLIP1","Not Sig"
"15594","LOC105370182",-2.918699538,0.081676823,0.081676823,-2.918699538,"LOC105370182","Not Sig"
