"","Gene","logFC","FDR","fdr","logfc","labels","sig"
"21814","SPX",-0.700724773,0.643364656,0.643364656,-0.700724773,"SPX","Not Sig"
"21815","NDUFS1",0.556226337,0.643364656,0.643364656,0.556226337,"NDUFS1","Not Sig"
"21816","SEC14L1P1",0.236520033,0.643447782,0.643447782,0.236520033,"SEC14L1P1","Not Sig"
"21817","EEFSEC",0.291611902,0.643447782,0.643447782,0.291611902,"EEFSEC","Not Sig"
"21818","TUBGCP4",0.118845112,0.643523562,0.643523562,0.118845112,"TUBGCP4","Not Sig"
"21819","LOC105372989",-0.47716169,0.643724902,0.643724902,-0.47716169,"LOC105372989","Not Sig"
"21820","PRKG1-AS1",0.766826101,0.643724902,0.643724902,0.766826101,"PRKG1-AS1","Not Sig"
"21821","TUBB_3",0.484222825,0.643820443,0.643820443,0.484222825,"TUBB_3","Not Sig"
"21822","LASP1",-0.151931682,0.643857988,0.643857988,-0.151931682,"LASP1","Not Sig"
"21823","LINC01119",-0.452983657,0.643938246,0.643938246,-0.452983657,"LINC01119","Not Sig"
"21824","LOC105372449",-0.36752196,0.643938246,0.643938246,-0.36752196,"LOC105372449","Not Sig"
"21825","LOC107986652",-0.828444817,0.644207326,0.644207326,-0.828444817,"LOC107986652","Not Sig"
"21826","TARS3",-0.093338011,0.644249698,0.644249698,-0.093338011,"TARS3","Not Sig"
"21827","LOC112268270",-0.778619667,0.644252849,0.644252849,-0.778619667,"LOC112268270","Not Sig"
"21828","CDC42BPA",0.151711292,0.644252849,0.644252849,0.151711292,"CDC42BPA","Not Sig"
"21829","TRIM26_7",0.604757314,0.644252849,0.644252849,0.604757314,"TRIM26_7","Not Sig"
"21830","NDUFB10",-0.152297788,0.645216977,0.645216977,-0.152297788,"NDUFB10","Not Sig"
"21831","ATP2B4",0.070804242,0.645276023,0.645276023,0.070804242,"ATP2B4","Not Sig"
"21832","VARS2_3",0.681883133,0.645479087,0.645479087,0.681883133,"VARS2_3","Not Sig"
"21833","MED14OS",0.234899584,0.646283892,0.646283892,0.234899584,"MED14OS","Not Sig"
"21834","LOC105378480",0.588531157,0.64643673,0.64643673,0.588531157,"LOC105378480","Not Sig"
"21835","TOP3A_1",0.727054101,0.64643673,0.64643673,0.727054101,"TOP3A_1","Not Sig"
"21836","FLJ30679",-0.407867646,0.64682923,0.64682923,-0.407867646,"FLJ30679","Not Sig"
"21837","LINC01141",-0.833289185,0.646926107,0.646926107,-0.833289185,"LINC01141","Not Sig"
"21838","LOC105372209",-0.826586046,0.646926107,0.646926107,-0.826586046,"LOC105372209","Not Sig"
"21839","ITGB1-DT",0.245297625,0.647251274,0.647251274,0.245297625,"ITGB1-DT","Not Sig"
"21840","LOC105370044",0.624131684,0.647255737,0.647255737,0.624131684,"LOC105370044","Not Sig"
"21841","LOC105370832",0.662306554,0.647481196,0.647481196,0.662306554,"LOC105370832","Not Sig"
"21842","RPH3AL_1",0.313124507,0.64748517,0.64748517,0.313124507,"RPH3AL_1","Not Sig"
"21843","LOC100133091_1",0.683960815,0.647498614,0.647498614,0.683960815,"LOC100133091_1","Not Sig"
"21844","LOC105375436",-0.67376263,0.648302102,0.648302102,-0.67376263,"LOC105375436","Not Sig"
"21845","GPR4",-0.473636106,0.648327554,0.648327554,-0.473636106,"GPR4","Not Sig"
"21846","GOLGA8K",-0.770079433,0.64841026,0.64841026,-0.770079433,"GOLGA8K","Not Sig"
"21847","LOC729218",-0.148674985,0.648505967,0.648505967,-0.148674985,"LOC729218","Not Sig"
"21848","TAL1",-0.826531393,0.648552646,0.648552646,-0.826531393,"TAL1","Not Sig"
"21849","SCGB2B2",-0.375166742,0.648867226,0.648867226,-0.375166742,"SCGB2B2","Not Sig"
"21850","SLC9A3R2",-0.126453012,0.649197888,0.649197888,-0.126453012,"SLC9A3R2","Not Sig"
"21851","LAMTOR4",-0.127830704,0.64949875,0.64949875,-0.127830704,"LAMTOR4","Not Sig"
"21852","TBC1D22A",0.06433658,0.64949886,0.64949886,0.06433658,"TBC1D22A","Not Sig"
"21853","LINC02477",-0.817495925,0.649508935,0.649508935,-0.817495925,"LINC02477","Not Sig"
"21854","SNRPD3",-0.129844857,0.649508935,0.649508935,-0.129844857,"SNRPD3","Not Sig"
"21855","RERGL",-0.656964949,0.649648127,0.649648127,-0.656964949,"RERGL","Not Sig"
"21856","LOC112267904",0.507852446,0.649804189,0.649804189,0.507852446,"LOC112267904","Not Sig"
"21857","LOC105377891",0.575133713,0.649917041,0.649917041,0.575133713,"LOC105377891","Not Sig"
"21858","LOC101929045",0.453245831,0.649948396,0.649948396,0.453245831,"LOC101929045","Not Sig"
"21859","B3GNTL1_1",-0.590106654,0.650035513,0.650035513,-0.590106654,"B3GNTL1_1","Not Sig"
"21860","LOC105372945",-0.824066165,0.650439124,0.650439124,-0.824066165,"LOC105372945","Not Sig"
"21861","LINC00907",0.604597295,0.650504424,0.650504424,0.604597295,"LINC00907","Not Sig"
"21862","NPIPA2_1",0.393787726,0.650529369,0.650529369,0.393787726,"NPIPA2_1","Not Sig"
