"","Gene","log2FC","p.value","fdr","logfc","labels","sig"
"23925","LOC105369781",0.249036128,0.875550613,0.875550613,0.249036128,"LOC105369781","Not Sig"
"23926","CBY2",0.233130904,0.875994516,0.875994516,0.233130904,"CBY2","Not Sig"
"23927","RNF167",0.044401454,0.876329914,0.876329914,0.044401454,"RNF167","Not Sig"
"23928","TRIM26",-0.302122493,0.876548785,0.876548785,-0.302122493,"TRIM26","Not Sig"
"23929","LOC105371637",-0.208832461,0.876548785,0.876548785,-0.208832461,"LOC105371637","Not Sig"
"23930","UCP1",-0.115545619,0.876582535,0.876582535,-0.115545619,"UCP1","Not Sig"
"23931","DYDC1",-0.323467791,0.876706063,0.876706063,-0.323467791,"DYDC1","Not Sig"
"23932","ABO_1",-0.300793921,0.877210835,0.877210835,-0.300793921,"ABO_1","Not Sig"
"23933","LOC105378731",-0.190728032,0.877210835,0.877210835,-0.190728032,"LOC105378731","Not Sig"
"23934","ELOC",0.025156988,0.877210835,0.877210835,0.025156988,"ELOC","Not Sig"
"23935","ZNF530",0.036788609,0.877210835,0.877210835,0.036788609,"ZNF530","Not Sig"
"23936","NAALAD2",-0.173943461,0.877396684,0.877396684,-0.173943461,"NAALAD2","Not Sig"
"23937","CHRNA7_3",0.301472341,0.877396684,0.877396684,0.301472341,"CHRNA7_3","Not Sig"
"23938","C1RL",0.255407713,0.877423967,0.877423967,0.255407713,"C1RL","Not Sig"
"23939","ENTPD8",0.221604767,0.877686124,0.877686124,0.221604767,"ENTPD8","Not Sig"
"23940","LOC105378638",-0.329906891,0.877702326,0.877702326,-0.329906891,"LOC105378638","Not Sig"
"23941","ZNF577",-0.100300505,0.877702326,0.877702326,-0.100300505,"ZNF577","Not Sig"
"23942","NRM_5",0.250267413,0.877708743,0.877708743,0.250267413,"NRM_5","Not Sig"
"23943","LOC105377155",-0.347692405,0.877793716,0.877793716,-0.347692405,"LOC105377155","Not Sig"
"23944","TEX21P",-0.116059813,0.877793716,0.877793716,-0.116059813,"TEX21P","Not Sig"
"23945","ARL6IP4",0.034054936,0.877793716,0.877793716,0.034054936,"ARL6IP4","Not Sig"
"23946","LOC284950",0.32243685,0.877793716,0.877793716,0.32243685,"LOC284950","Not Sig"
"23947","LOC105371578",0.339176997,0.877809237,0.877809237,0.339176997,"LOC105371578","Not Sig"
"23948","C1orf100",-0.256375692,0.877873457,0.877873457,-0.256375692,"C1orf100","Not Sig"
"23949","NRIP2",0.057337898,0.87805442,0.87805442,0.057337898,"NRIP2","Not Sig"
"23950","WFDC6",-0.314132279,0.878206084,0.878206084,-0.314132279,"WFDC6","Not Sig"
"23951","ZNF436_1",0.206092524,0.878206084,0.878206084,0.206092524,"ZNF436_1","Not Sig"
"23952","SERTM2",-0.153915869,0.878529787,0.878529787,-0.153915869,"SERTM2","Not Sig"
"23953","LOC105371348",-0.1001207,0.879254573,0.879254573,-0.1001207,"LOC105371348","Not Sig"
"23954","PLAAT1",-0.043223165,0.87926607,0.87926607,-0.043223165,"PLAAT1","Not Sig"
"23955","TRNY",-0.077170653,0.879610287,0.879610287,-0.077170653,"TRNY","Not Sig"
"23956","POC1B-GALNT4",-0.230642023,0.87978836,0.87978836,-0.230642023,"POC1B-GALNT4","Not Sig"
"23957","ANAPC1P2",0.05507507,0.880010611,0.880010611,0.05507507,"ANAPC1P2","Not Sig"
"23958","DYNLL2-DT",0.166313778,0.880010611,0.880010611,0.166313778,"DYNLL2-DT","Not Sig"
"23959","POU5F1_2",-0.295510679,0.880014639,0.880014639,-0.295510679,"POU5F1_2","Not Sig"
"23960","LOC441155",-0.072926459,0.880077663,0.880077663,-0.072926459,"LOC441155","Not Sig"
"23961","LOC105373611",-0.330428028,0.880265443,0.880265443,-0.330428028,"LOC105373611","Not Sig"
"23962","TAS2R19_2",-0.225162403,0.880265443,0.880265443,-0.225162403,"TAS2R19_2","Not Sig"
"23963","LOC107985523",0.293361416,0.880265443,0.880265443,0.293361416,"LOC107985523","Not Sig"
"23964","PCK2_1",-0.307752749,0.880302446,0.880302446,-0.307752749,"PCK2_1","Not Sig"
"23965","LOC101927673",0.188345855,0.880442208,0.880442208,0.188345855,"LOC101927673","Not Sig"
"23966","LOC105378814",-0.316440727,0.880464424,0.880464424,-0.316440727,"LOC105378814","Not Sig"
"23967","ILKAP",-0.034646934,0.880706435,0.880706435,-0.034646934,"ILKAP","Not Sig"
"23968","ERGIC3",-0.032188674,0.880706435,0.880706435,-0.032188674,"ERGIC3","Not Sig"
"23969","LINC00910",0.085369339,0.880706435,0.880706435,0.085369339,"LINC00910","Not Sig"
"23970","C6orf120",-0.031523489,0.880748464,0.880748464,-0.031523489,"C6orf120","Not Sig"
"23971","CABP1-DT",0.23772554,0.881200473,0.881200473,0.23772554,"CABP1-DT","Not Sig"
"23972","SLC35B3",0.036644802,0.881503163,0.881503163,0.036644802,"SLC35B3","Not Sig"
"23973","LOC105370010",0.310474072,0.881599383,0.881599383,0.310474072,"LOC105370010","Not Sig"
"23974","LINC02391",-0.328168051,0.881798834,0.881798834,-0.328168051,"LINC02391","Not Sig"
"23975","LOC107986368",0.334270803,0.881798834,0.881798834,0.334270803,"LOC107986368","Not Sig"
"23976","MIR563",0.298322785,0.881872226,0.881872226,0.298322785,"MIR563","Not Sig"
"23977","RPS6KA2-IT1",0.139952716,0.881935829,0.881935829,0.139952716,"RPS6KA2-IT1","Not Sig"
"23978","CDKL3",-0.041011857,0.881950827,0.881950827,-0.041011857,"CDKL3","Not Sig"
"23979","FAM86B3P_1",0.260268911,0.882023998,0.882023998,0.260268911,"FAM86B3P_1","Not Sig"
"23980","RPS6KA2-AS1",0.330746335,0.882624981,0.882624981,0.330746335,"RPS6KA2-AS1","Not Sig"
"23981","ITGB2-AS1",-0.284073621,0.88273783,0.88273783,-0.284073621,"ITGB2-AS1","Not Sig"
"23982","LOC107985694",-0.111302124,0.88273783,0.88273783,-0.111302124,"LOC107985694","Not Sig"
"23983","TRADD",-0.139591155,0.883023892,0.883023892,-0.139591155,"TRADD","Not Sig"
"23984","LOC105371224",-0.070983626,0.883147684,0.883147684,-0.070983626,"LOC105371224","Not Sig"
"23985","LOC105372960",0.271372507,0.883214161,0.883214161,0.271372507,"LOC105372960","Not Sig"
"23986","NEMP2",-0.04598664,0.883271949,0.883271949,-0.04598664,"NEMP2","Not Sig"
"23987","LINC01220",0.175499672,0.883271949,0.883271949,0.175499672,"LINC01220","Not Sig"
"23988","LOC105372861",-0.279596083,0.883461256,0.883461256,-0.279596083,"LOC105372861","Not Sig"
"23989","OR2B11",0.33602766,0.883547446,0.883547446,0.33602766,"OR2B11","Not Sig"
"23990","RBM44",0.113635672,0.883574345,0.883574345,0.113635672,"RBM44","Not Sig"
"23991","PRICKLE4",-0.080488074,0.883597682,0.883597682,-0.080488074,"PRICKLE4","Not Sig"
"23992","FBXO33",0.040322818,0.883597682,0.883597682,0.040322818,"FBXO33","Not Sig"
"23993","LOC105374794",0.279698378,0.883680354,0.883680354,0.279698378,"LOC105374794","Not Sig"
"23994","LOC100506274",-0.294724506,0.883832765,0.883832765,-0.294724506,"LOC100506274","Not Sig"
"23995","NPIPA8",0.098081884,0.883832765,0.883832765,0.098081884,"NPIPA8","Not Sig"
"23996","GTF2I-AS1",0.246033441,0.883832765,0.883832765,0.246033441,"GTF2I-AS1","Not Sig"
"23997","MIR4786",0.28346233,0.883832765,0.883832765,0.28346233,"MIR4786","Not Sig"
"23998","ZNF541",0.293943247,0.883832765,0.883832765,0.293943247,"ZNF541","Not Sig"
"23999","PIWIL3",-0.333366491,0.883853546,0.883853546,-0.333366491,"PIWIL3","Not Sig"
"24000","PERP",-0.05716066,0.88443096,0.88443096,-0.05716066,"PERP","Not Sig"
"24001","NPIPB13_1",0.105355372,0.884445669,0.884445669,0.105355372,"NPIPB13_1","Not Sig"
"24002","LOC101928361",0.291285422,0.884445669,0.884445669,0.291285422,"LOC101928361","Not Sig"
"24003","LRRC14",0.021835813,0.884494008,0.884494008,0.021835813,"LRRC14","Not Sig"
"24004","LARGE1-AS1",0.136660083,0.884494008,0.884494008,0.136660083,"LARGE1-AS1","Not Sig"
"24005","ACTG1P20",0.042903802,0.884525003,0.884525003,0.042903802,"ACTG1P20","Not Sig"
"24006","GAS8-AS1",0.169342477,0.884525003,0.884525003,0.169342477,"GAS8-AS1","Not Sig"
"24007","LOC105372766",-0.329333852,0.884547251,0.884547251,-0.329333852,"LOC105372766","Not Sig"
"24008","MANSC1_1",-0.209402412,0.884547251,0.884547251,-0.209402412,"MANSC1_1","Not Sig"
"24009","MIR1-1HG",-0.309573931,0.884590971,0.884590971,-0.309573931,"MIR1-1HG","Not Sig"
"24010","LOC105375061",-0.122824163,0.884590971,0.884590971,-0.122824163,"LOC105375061","Not Sig"
"24011","HPS5_1",-0.323434017,0.884610426,0.884610426,-0.323434017,"HPS5_1","Not Sig"
"24012","CCDC168",0.224841509,0.884610426,0.884610426,0.224841509,"CCDC168","Not Sig"
"24013","GLYAT",-0.267400475,0.884817723,0.884817723,-0.267400475,"GLYAT","Not Sig"
"24014","SDAD1-AS1",-0.332086361,0.884854236,0.884854236,-0.332086361,"SDAD1-AS1","Not Sig"
"24015","LOC100996664",-0.302049464,0.884854236,0.884854236,-0.302049464,"LOC100996664","Not Sig"
"24016","LOC107985769",-0.294635747,0.884854236,0.884854236,-0.294635747,"LOC107985769","Not Sig"
"24017","STPG4",0.2487001,0.884854236,0.884854236,0.2487001,"STPG4","Not Sig"
"24018","SULF1",-0.072646321,0.88498609,0.88498609,-0.072646321,"SULF1","Not Sig"
"24019","MYO1A",-0.245286191,0.885251975,0.885251975,-0.245286191,"MYO1A","Not Sig"
"24020","KCNH5",-0.14479834,0.885275275,0.885275275,-0.14479834,"KCNH5","Not Sig"
"24021","NDST1-AS1",-0.107665953,0.885608528,0.885608528,-0.107665953,"NDST1-AS1","Not Sig"
"24022","LOC105371742",0.285410247,0.885801014,0.885801014,0.285410247,"LOC105371742","Not Sig"
"24023","LOC102724968",0.330185538,0.885976864,0.885976864,0.330185538,"LOC102724968","Not Sig"
"24024","PLA2G4F",-0.318176432,0.886573254,0.886573254,-0.318176432,"PLA2G4F","Not Sig"
"24025","BICRA",-0.048892852,0.886573254,0.886573254,-0.048892852,"BICRA","Not Sig"
"24026","LOC101927080",-0.309851831,0.88658053,0.88658053,-0.309851831,"LOC101927080","Not Sig"
"24027","TRIM41",-0.048453778,0.886643815,0.886643815,-0.048453778,"TRIM41","Not Sig"
"24028","PDZD8",-0.035957167,0.886643815,0.886643815,-0.035957167,"PDZD8","Not Sig"
"24029","LOC105373440",0.24899828,0.886643815,0.886643815,0.24899828,"LOC105373440","Not Sig"
"24030","FBRS",0.048220625,0.886822834,0.886822834,0.048220625,"FBRS","Not Sig"
"24031","CR1L",0.139781731,0.886822834,0.886822834,0.139781731,"CR1L","Not Sig"
"24032","MADD-AS1",-0.299974986,0.886867426,0.886867426,-0.299974986,"MADD-AS1","Not Sig"
"24033","AKNA",-0.068677867,0.886954602,0.886954602,-0.068677867,"AKNA","Not Sig"
"24034","RC3H1",0.036843628,0.886954602,0.886954602,0.036843628,"RC3H1","Not Sig"
"24035","LOC102723811",0.124742413,0.887115818,0.887115818,0.124742413,"LOC102723811","Not Sig"
"24036","LOC105373298",-0.2688189,0.887289783,0.887289783,-0.2688189,"LOC105373298","Not Sig"
"24037","LINC00934",-0.169586882,0.887474362,0.887474362,-0.169586882,"LINC00934","Not Sig"
"24038","SLC16A6",0.10349913,0.887577128,0.887577128,0.10349913,"SLC16A6","Not Sig"
"24039","LOC105371841",-0.167869641,0.887661865,0.887661865,-0.167869641,"LOC105371841","Not Sig"
"24040","LOC107986152",0.318170601,0.887661865,0.887661865,0.318170601,"LOC107986152","Not Sig"
"24041","LOC105378319",-0.28970667,0.887938321,0.887938321,-0.28970667,"LOC105378319","Not Sig"
"24042","LOC105371302",-0.121435401,0.888637191,0.888637191,-0.121435401,"LOC105371302","Not Sig"
"24043","ZFYVE9",0.044157105,0.88867155,0.88867155,0.044157105,"ZFYVE9","Not Sig"
"24044","LOC105372108",0.323910184,0.888716095,0.888716095,0.323910184,"LOC105372108","Not Sig"
"24045","LITAFD",-0.319984625,0.888716684,0.888716684,-0.319984625,"LITAFD","Not Sig"
"24046","LOC105371473",-0.278050689,0.888716684,0.888716684,-0.278050689,"LOC105371473","Not Sig"
"24047","MIR1296",0.312822511,0.888716684,0.888716684,0.312822511,"MIR1296","Not Sig"
"24048","LOC105373715",-0.255661653,0.888932118,0.888932118,-0.255661653,"LOC105373715","Not Sig"
"24049","MIR744",0.277244071,0.888932118,0.888932118,0.277244071,"MIR744","Not Sig"
"24050","LOC101928797",-0.302425758,0.889032741,0.889032741,-0.302425758,"LOC101928797","Not Sig"
"24051","LOC105373037",-0.321826483,0.889147102,0.889147102,-0.321826483,"LOC105373037","Not Sig"
"24052","LOC107984343",-0.312338475,0.889147102,0.889147102,-0.312338475,"LOC107984343","Not Sig"
"24053","PRPS1",-0.04272428,0.889147102,0.889147102,-0.04272428,"PRPS1","Not Sig"
"24054","LOC105377771",0.071922379,0.889168805,0.889168805,0.071922379,"LOC105377771","Not Sig"
"24055","CYP2A7",0.236331954,0.889303938,0.889303938,0.236331954,"CYP2A7","Not Sig"
"24056","SBNO2",-0.149252971,0.889369534,0.889369534,-0.149252971,"SBNO2","Not Sig"
"24057","LOC107984292",0.279913575,0.889369534,0.889369534,0.279913575,"LOC107984292","Not Sig"
"24058","LOC107984459",-0.314109686,0.889455103,0.889455103,-0.314109686,"LOC107984459","Not Sig"
"24059","GAGE10",-0.227215805,0.889617405,0.889617405,-0.227215805,"GAGE10","Not Sig"
"24060","SMCO3",-0.220953176,0.889617405,0.889617405,-0.220953176,"SMCO3","Not Sig"
"24061","LOC105369460",-0.320975448,0.889958486,0.889958486,-0.320975448,"LOC105369460","Not Sig"
"24062","ZDBF2_1",-0.182617917,0.890289062,0.890289062,-0.182617917,"ZDBF2_1","Not Sig"
"24063","FAM227A",-0.067213371,0.890289062,0.890289062,-0.067213371,"FAM227A","Not Sig"
"24064","MIR558",-0.278072094,0.890389246,0.890389246,-0.278072094,"MIR558","Not Sig"
"24065","ADGRE1",-0.274200763,0.890459851,0.890459851,-0.274200763,"ADGRE1","Not Sig"
"24066","LOC107984664",-0.274200763,0.890459851,0.890459851,-0.274200763,"LOC107984664","Not Sig"
"24067","LINC02639",-0.274200763,0.890459851,0.890459851,-0.274200763,"LINC02639","Not Sig"
"24068","LINC02834",-0.274200762,0.890459851,0.890459851,-0.274200762,"LINC02834","Not Sig"
"24069","LOC105377495",-0.274200762,0.890459851,0.890459851,-0.274200762,"LOC105377495","Not Sig"
"24070","LOC101929507",-0.274200762,0.890459851,0.890459851,-0.274200762,"LOC101929507","Not Sig"
"24071","MIR4489",0.235947417,0.890459851,0.890459851,0.235947417,"MIR4489","Not Sig"
"24072","C6orf47_3",0.26303535,0.890459851,0.890459851,0.26303535,"C6orf47_3","Not Sig"
"24073","LOC107985231",-0.306762746,0.890480061,0.890480061,-0.306762746,"LOC107985231","Not Sig"
"24074","WARS2-IT1",-0.281749423,0.890497935,0.890497935,-0.281749423,"WARS2-IT1","Not Sig"
"24075","AP2A1",-0.024596556,0.890497935,0.890497935,-0.024596556,"AP2A1","Not Sig"
"24076","LOC105375945",-0.273931375,0.890498506,0.890498506,-0.273931375,"LOC105375945","Not Sig"
"24077","NLRP13",-0.273675297,0.8906389,0.8906389,-0.273675297,"NLRP13","Not Sig"
"24078","CDHR1",-0.045154212,0.890703086,0.890703086,-0.045154212,"CDHR1","Not Sig"
"24079","TMEM192",0.028422076,0.890823931,0.890823931,0.028422076,"TMEM192","Not Sig"
"24080","IL1B",-0.273103102,0.890870719,0.890870719,-0.273103102,"IL1B","Not Sig"
"24081","FAM47A",-0.273073605,0.890870719,0.890870719,-0.273073605,"FAM47A","Not Sig"
"24082","LOC105369768",-0.273073605,0.890870719,0.890870719,-0.273073605,"LOC105369768","Not Sig"
"24083","LOC102723534_1",0.180363039,0.890897506,0.890897506,0.180363039,"LOC102723534_1","Not Sig"
"24084","LOC105378772",-0.272469212,0.891194564,0.891194564,-0.272469212,"LOC105378772","Not Sig"
"24085","PDZK1P1",-0.116386103,0.891194564,0.891194564,-0.116386103,"PDZK1P1","Not Sig"
"24086","REC8",-0.218323567,0.891264424,0.891264424,-0.218323567,"REC8","Not Sig"
"24087","RING1_5",-0.317283722,0.891280162,0.891280162,-0.317283722,"RING1_5","Not Sig"
"24088","LIX1L-AS1",0.158965214,0.89128227,0.89128227,0.158965214,"LIX1L-AS1","Not Sig"
"24089","MAFA-AS1",0.182225785,0.891447161,0.891447161,0.182225785,"MAFA-AS1","Not Sig"
"24090","LOC107984436",-0.292991434,0.891483485,0.891483485,-0.292991434,"LOC107984436","Not Sig"
"24091","ETDB",0.315868564,0.891483485,0.891483485,0.315868564,"ETDB","Not Sig"
"24092","LINC02396",-0.293012222,0.891812272,0.891812272,-0.293012222,"LINC02396","Not Sig"
"24093","LOC105369828",-0.277373507,0.891812272,0.891812272,-0.277373507,"LOC105369828","Not Sig"
"24094","LOC105379379",-0.272313207,0.891812272,0.891812272,-0.272313207,"LOC105379379","Not Sig"
"24095","AKR1B10",0.235813969,0.891812272,0.891812272,0.235813969,"AKR1B10","Not Sig"
"24096","MIR6077",0.282666213,0.891929705,0.891929705,0.282666213,"MIR6077","Not Sig"
"24097","NAIP",0.252909252,0.891930297,0.891930297,0.252909252,"NAIP","Not Sig"
"24098","LOC105371081",-0.279506349,0.892166696,0.892166696,-0.279506349,"LOC105371081","Not Sig"
"24099","LOC105373592",-0.270114682,0.892290819,0.892290819,-0.270114682,"LOC105373592","Not Sig"
"24100","MIR6820",0.206067851,0.892433001,0.892433001,0.206067851,"MIR6820","Not Sig"
"24101","LOC107986401",-0.293702889,0.89262623,0.89262623,-0.293702889,"LOC107986401","Not Sig"
"24102","GOLGA8IP_1",-0.269487245,0.89262623,0.89262623,-0.269487245,"GOLGA8IP_1","Not Sig"
"24103","LOC105369873",0.244875123,0.89262623,0.89262623,0.244875123,"LOC105369873","Not Sig"
"24104","LOC107986762",-0.144681556,0.892695877,0.892695877,-0.144681556,"LOC107986762","Not Sig"
"24105","H4C3",0.266397792,0.892697878,0.892697878,0.266397792,"H4C3","Not Sig"
"24106","LOC105376364",-0.2690841,0.89274526,0.89274526,-0.2690841,"LOC105376364","Not Sig"
"24107","LOC105374488",-0.268961691,0.892755941,0.892755941,-0.268961691,"LOC105374488","Not Sig"
"24108","LEPROTL1",-0.025543786,0.892755941,0.892755941,-0.025543786,"LEPROTL1","Not Sig"
"24109","LOC105376535",-0.268621425,0.892917484,0.892917484,-0.268621425,"LOC105376535","Not Sig"
"24110","ZBTB4_1",0.124599569,0.892917484,0.892917484,0.124599569,"ZBTB4_1","Not Sig"
"24111","LOC105378473",-0.292290676,0.892990034,0.892990034,-0.292290676,"LOC105378473","Not Sig"
"24112","LOC112268466",-0.268695685,0.892990034,0.892990034,-0.268695685,"LOC112268466","Not Sig"
"24113","BCOR",-0.036270727,0.892990034,0.892990034,-0.036270727,"BCOR","Not Sig"
"24114","SCAP",-0.024678833,0.892990034,0.892990034,-0.024678833,"SCAP","Not Sig"
"24115","TMPRSS11A",0.28959248,0.893131203,0.893131203,0.28959248,"TMPRSS11A","Not Sig"
"24116","CALHM5",0.137429762,0.893171936,0.893171936,0.137429762,"CALHM5","Not Sig"
"24117","LOC105370680",-0.298683193,0.893247049,0.893247049,-0.298683193,"LOC105370680","Not Sig"
"24118","LOC105377889",-0.267489958,0.893404543,0.893404543,-0.267489958,"LOC105377889","Not Sig"
"24119","LINC00612",0.14319526,0.893404956,0.893404956,0.14319526,"LINC00612","Not Sig"
"24120","LOC105375060",-0.267270001,0.893482732,0.893482732,-0.267270001,"LOC105375060","Not Sig"
"24121","LOC101927108",0.282541875,0.893568752,0.893568752,0.282541875,"LOC101927108","Not Sig"
"24122","ST6GALNAC1",0.289785695,0.893657893,0.893657893,0.289785695,"ST6GALNAC1","Not Sig"
"24123","LOC101927817",-0.302955371,0.893666282,0.893666282,-0.302955371,"LOC101927817","Not Sig"
"24124","AGPAT5_1",-0.219827343,0.893666282,0.893666282,-0.219827343,"AGPAT5_1","Not Sig"
"24125","LOC100506851",-0.205666785,0.893906295,0.893906295,-0.205666785,"LOC100506851","Not Sig"
"24126","DYRK4",0.04123466,0.893959127,0.893959127,0.04123466,"DYRK4","Not Sig"
"24127","LOC112268077",-0.266150867,0.893983427,0.893983427,-0.266150867,"LOC112268077","Not Sig"
"24128","LOC105373465",-0.266094003,0.893983427,0.893983427,-0.266094003,"LOC105373465","Not Sig"
"24129","LOC105374154",-0.266079096,0.893983427,0.893983427,-0.266079096,"LOC105374154","Not Sig"
"24130","ARHGAP29-AS1",-0.265994077,0.8940057,0.8940057,-0.265994077,"ARHGAP29-AS1","Not Sig"
"24131","LOC105371347",-0.265950191,0.8940057,0.8940057,-0.265950191,"LOC105371347","Not Sig"
"24132","TMOD4",-0.116130112,0.894020808,0.894020808,-0.116130112,"TMOD4","Not Sig"
"24133","LOC107987079",-0.265727202,0.894067477,0.894067477,-0.265727202,"LOC107987079","Not Sig"
"24134","TTC17",-0.040751261,0.894067477,0.894067477,-0.040751261,"TTC17","Not Sig"
"24135","LOC105375361",0.295214514,0.894067477,0.894067477,0.295214514,"LOC105375361","Not Sig"
"24136","LOC105370455",-0.265508463,0.894150543,0.894150543,-0.265508463,"LOC105370455","Not Sig"
"24137","LOC105376097",-0.265415223,0.894181276,0.894181276,-0.265415223,"LOC105376097","Not Sig"
"24138","LOC112267986",0.250788478,0.894267017,0.894267017,0.250788478,"LOC112267986","Not Sig"
"24139","GORAB-AS1",0.221540286,0.894354433,0.894354433,0.221540286,"GORAB-AS1","Not Sig"
"24140","SCARNA7",-0.258891425,0.894731544,0.894731544,-0.258891425,"SCARNA7","Not Sig"
"24141","LOC107986847",-0.279874797,0.895069859,0.895069859,-0.279874797,"LOC107986847","Not Sig"
"24142","LOC105377986",0.277792745,0.895069859,0.895069859,0.277792745,"LOC105377986","Not Sig"
"24143","LINC01289",-0.302633983,0.895157444,0.895157444,-0.302633983,"LINC01289","Not Sig"
"24144","GPRASP2",0.221093421,0.895157444,0.895157444,0.221093421,"GPRASP2","Not Sig"
"24145","UBQLN2",0.048696657,0.89520611,0.89520611,0.048696657,"UBQLN2","Not Sig"
"24146","KMT2B",0.039286661,0.895265234,0.895265234,0.039286661,"KMT2B","Not Sig"
"24147","PPP1CA",0.030202326,0.895394745,0.895394745,0.030202326,"PPP1CA","Not Sig"
"24148","PKNOX2-DT",0.25712469,0.895436119,0.895436119,0.25712469,"PKNOX2-DT","Not Sig"
"24149","FYB2",0.214159008,0.895585824,0.895585824,0.214159008,"FYB2","Not Sig"
"24150","ERVW-1",0.187473118,0.89589511,0.89589511,0.187473118,"ERVW-1","Not Sig"
"24151","ATP23",-0.284645191,0.895944104,0.895944104,-0.284645191,"ATP23","Not Sig"
"24152","LOC731075",-0.166744696,0.895944216,0.895944216,-0.166744696,"LOC731075","Not Sig"
"24153","GPR108",-0.028146104,0.895944216,0.895944216,-0.028146104,"GPR108","Not Sig"
"24154","PF4V1",-0.261420748,0.896426095,0.896426095,-0.261420748,"PF4V1","Not Sig"
"24155","LGALS8",0.043308479,0.896457648,0.896457648,0.043308479,"LGALS8","Not Sig"
"24156","LOC105369209",0.147001828,0.896468624,0.896468624,0.147001828,"LOC105369209","Not Sig"
"24157","MT3",-0.261061491,0.896504563,0.896504563,-0.261061491,"MT3","Not Sig"
"24158","AS3MT",-0.083015604,0.896504563,0.896504563,-0.083015604,"AS3MT","Not Sig"
"24159","KC6",0.083997791,0.896504563,0.896504563,0.083997791,"KC6","Not Sig"
"24160","ZNF415",-0.037925252,0.896615934,0.896615934,-0.037925252,"ZNF415","Not Sig"
"24161","DGKD_1",0.303462253,0.896615934,0.896615934,0.303462253,"DGKD_1","Not Sig"
"24162","LOC100506730",0.025923647,0.896646409,0.896646409,0.025923647,"LOC100506730","Not Sig"
"24163","LINC02701",0.156733244,0.896824124,0.896824124,0.156733244,"LINC02701","Not Sig"
"24164","LOC105372468",0.290907523,0.896902043,0.896902043,0.290907523,"LOC105372468","Not Sig"
"24165","PTCD2",-0.033709959,0.897065206,0.897065206,-0.033709959,"PTCD2","Not Sig"
"24166","LOC102725072",0.257516134,0.897131146,0.897131146,0.257516134,"LOC102725072","Not Sig"
"24167","MED8-AS1",0.174444108,0.897190664,0.897190664,0.174444108,"MED8-AS1","Not Sig"
"24168","KPNA1",-0.014762823,0.897238319,0.897238319,-0.014762823,"KPNA1","Not Sig"
"24169","LOC105373038",0.272302852,0.897253654,0.897253654,0.272302852,"LOC105373038","Not Sig"
"24170","SLC11A1",0.180075096,0.897727196,0.897727196,0.180075096,"SLC11A1","Not Sig"
"24171","SLC35D3",-0.256265652,0.897807853,0.897807853,-0.256265652,"SLC35D3","Not Sig"
"24172","MIR6847",-0.175784436,0.89813488,0.89813488,-0.175784436,"MIR6847","Not Sig"
"24173","EMC1",0.023223106,0.89851396,0.89851396,0.023223106,"EMC1","Not Sig"
"24174","LOC105374346",0.177089271,0.898521833,0.898521833,0.177089271,"LOC105374346","Not Sig"
"24175","LOC112268429",0.278076882,0.898521833,0.898521833,0.278076882,"LOC112268429","Not Sig"
"24176","LOC105376030",0.281067766,0.898582332,0.898582332,0.281067766,"LOC105376030","Not Sig"
"24177","RAB40AL",0.157690877,0.898603726,0.898603726,0.157690877,"RAB40AL","Not Sig"
"24178","LOC105378816",0.298777451,0.898937718,0.898937718,0.298777451,"LOC105378816","Not Sig"
"24179","MRS2P2",0.26902681,0.899010061,0.899010061,0.26902681,"MRS2P2","Not Sig"
"24180","LOC105377077",-0.147382656,0.89909225,0.89909225,-0.147382656,"LOC105377077","Not Sig"
"24181","TSPAN1",-0.142731607,0.89909225,0.89909225,-0.142731607,"TSPAN1","Not Sig"
"24182","GOLGA4",-0.055618796,0.899140105,0.899140105,-0.055618796,"GOLGA4","Not Sig"
"24183","SNTG2_2",0.226130563,0.899184878,0.899184878,0.226130563,"SNTG2_2","Not Sig"
"24184","NDUFS5",-0.053383143,0.899409573,0.899409573,-0.053383143,"NDUFS5","Not Sig"
"24185","PTX4",-0.235412874,0.899483109,0.899483109,-0.235412874,"PTX4","Not Sig"
"24186","FBRSL1",-0.045529752,0.899642783,0.899642783,-0.045529752,"FBRSL1","Not Sig"
"24187","LOC105378008",-0.203992543,0.89964647,0.89964647,-0.203992543,"LOC105378008","Not Sig"
"24188","SPART-AS1",-0.125146043,0.89964647,0.89964647,-0.125146043,"SPART-AS1","Not Sig"
"24189","SERTAD4_1",-0.227416671,0.89976996,0.89976996,-0.227416671,"SERTAD4_1","Not Sig"
"24190","DSTNP2",-0.045663919,0.89976996,0.89976996,-0.045663919,"DSTNP2","Not Sig"
"24191","LINC01320",-0.285563464,0.899785555,0.899785555,-0.285563464,"LINC01320","Not Sig"
"24192","CHRNA2",-0.148371671,0.899785555,0.899785555,-0.148371671,"CHRNA2","Not Sig"
"24193","LOC105371711",0.221765197,0.899894989,0.899894989,0.221765197,"LOC105371711","Not Sig"
"24194","CCZ1B",0.03408676,0.899903256,0.899903256,0.03408676,"CCZ1B","Not Sig"
"24195","LOC105378519",0.224031936,0.900188531,0.900188531,0.224031936,"LOC105378519","Not Sig"
"24196","TRAV8-5",-0.2768595,0.900242315,0.900242315,-0.2768595,"TRAV8-5","Not Sig"
"24197","LNCOG",-0.252783849,0.900242315,0.900242315,-0.252783849,"LNCOG","Not Sig"
"24198","SMG6",-0.030000672,0.900242315,0.900242315,-0.030000672,"SMG6","Not Sig"
