"","Gene","log2FC","p.value","fdr","logfc","labels","sig"
"8684","KDM4C",0.838407644,0.000131024,0.000131024,0.838407644,"KDM4C","Up"
"8685","CASC15",1.279133835,0.000131317,0.000131317,1.279133835,"CASC15","Up"
"8686","CCSAP",0.890815537,0.000131585,0.000131585,0.890815537,"CCSAP","Up"
"8687","LGI4",1.353990687,0.000132139,0.000132139,1.353990687,"LGI4","Up"
"8688","CCDC150",-1.274381274,0.000132411,0.000132411,-1.274381274,"CCDC150","Down"
"8689","DLX3",-4.071600383,0.000132662,0.000132662,-4.071600383,"DLX3","Down"
"8690","TTC39B",-0.974532617,0.000132662,0.000132662,-0.974532617,"TTC39B","Down"
"8691","PARP1",-0.586310357,0.000132673,0.000132673,-0.586310357,"PARP1","Down"
"8692","TMEM117",1.367913359,0.000132766,0.000132766,1.367913359,"TMEM117","Up"
"8693","THADA",-0.592711565,0.000132766,0.000132766,-0.592711565,"THADA","Down"
"8694","HRC",-2.922688855,0.000133336,0.000133336,-2.922688855,"HRC","Down"
"8695","ABHD13",0.606336162,0.000133561,0.000133561,0.606336162,"ABHD13","Up"
"8696","LINC01600",-3.245440855,0.000133723,0.000133723,-3.245440855,"LINC01600","Down"
"8697","DOC2B_1",2.440603334,0.000134993,0.000134993,2.440603334,"DOC2B_1","Up"
"8698","KLK13",4.117126423,0.000135113,0.000135113,4.117126423,"KLK13","Up"
"8699","LOC283194",2.361703139,0.000135175,0.000135175,2.361703139,"LOC283194","Up"
"8700","ZCCHC3",-0.68969927,0.000135206,0.000135206,-0.68969927,"ZCCHC3","Down"
"8701","KMO",2.115623425,0.000135569,0.000135569,2.115623425,"KMO","Up"
"8702","IQCG",0.93551659,0.000136603,0.000136603,0.93551659,"IQCG","Up"
"8703","POM121L1P",1.443685763,0.000137347,0.000137347,1.443685763,"POM121L1P","Up"
"8704","POMGNT2",0.393742874,0.00013798,0.00013798,0.393742874,"POMGNT2","Not Sig"
"8705","FGGY",0.81918883,0.00013798,0.00013798,0.81918883,"FGGY","Up"
"8706","MRPS22",-0.653876622,0.000138121,0.000138121,-0.653876622,"MRPS22","Down"
"8707","DEPP1",1.752979704,0.000138327,0.000138327,1.752979704,"DEPP1","Up"
"8708","COIL",-0.470821094,0.000138453,0.000138453,-0.470821094,"COIL","Not Sig"
"8709","LDHD",-2.51413496,0.000139223,0.000139223,-2.51413496,"LDHD","Down"
"8710","CLSPN",-1.406991403,0.000139472,0.000139472,-1.406991403,"CLSPN","Down"
"8711","POSTN",-3.96615609,0.00013956,0.00013956,-3.96615609,"POSTN","Down"
"8712","ECI1",-1.094774814,0.000139604,0.000139604,-1.094774814,"ECI1","Down"
"8713","SACS",0.949093186,0.000140779,0.000140779,0.949093186,"SACS","Up"
"8714","SNORD32A",-1.589502653,0.000141432,0.000141432,-1.589502653,"SNORD32A","Down"
"8715","ERCC1",-0.472999951,0.000141695,0.000141695,-0.472999951,"ERCC1","Not Sig"
"8716","ABHD15",-1.312363278,0.000141947,0.000141947,-1.312363278,"ABHD15","Down"
"8717","PLCD3",-1.066402157,0.000142065,0.000142065,-1.066402157,"PLCD3","Down"
"8718","BTN3A1",-1.558261042,0.000142298,0.000142298,-1.558261042,"BTN3A1","Down"
"8719","KIFC1",-4.461820831,0.000142595,0.000142595,-4.461820831,"KIFC1","Down"
"8720","ZBTB5",-0.778243699,0.000142675,0.000142675,-0.778243699,"ZBTB5","Down"
